|hostname                    |ra            |dec           |
|char                        |double        |double        |
|                            |deg           |deg           |
|null                        |null          |null          |
 EPIC 201497682               168.9366786    0.4880606      
 EPIC 201595106               183.7203635    1.9681688      
 EPIC 201757695               173.9385102    4.6164303      
 EPIC 201841433               175.2067520    6.1348146      
 EPIC 206024342               331.2771441    -14.1218019    
 EPIC 206032309               341.2404563    -13.9011223    
 EPIC 206042996               337.5136198    -13.6101475    
 EPIC 206215704               335.0949721    -9.5097112     
 EPIC 206317286               337.6178427    -7.9724560     
 EPIC 211822797               130.4102091    17.6399744     
 EPIC 211945201               136.5741931    19.4020565     
 EPIC 212297394               207.2061241    -17.6098985    
 EPIC 212424622               202.3313765    -14.3594358    
 EPIC 212499991               202.4887520    -12.7347749    
 EPIC 212587672               205.4445125    -10.8625468    
 EPIC 212624936               210.6376171    -10.0236852    
 EPIC 212737443               204.2215065    -7.3180577     
 EPIC 220492298               16.7615005     6.5887980      
 EPIC 220674823               13.0800239     10.7947051     
 EPIC 228836835               189.5748998    -5.2446247     
 EPIC 229004835               186.4860415    -1.4047214     
 EPIC 246851721               78.9198197     16.2786991     
 EPIC 248847494               159.3890808    11.8427484     
 EPIC 249893012               228.2482353    -16.7246474    
 FU Tau                       65.8974962     25.0506711     
 G 196-3                      151.0884754    50.3861806     
 G 264-012                    326.6719598    66.8038480     
 G 9-40                       134.7188514    21.0747961     
 GJ 1002                      1.6764641      -7.5462123     
 GJ 1061                      54.0032486     -44.5143104    
 GJ 1132                      153.7090696    -47.1549358    
 GJ 1148                      175.4326081    42.7515862     
 GJ 1151                      177.7304866    48.3732334     
 GJ 1214                      258.8313991    4.9606795      
 GJ 1252                      306.9286462    -56.4622865    
 GJ 1265                      333.4324675    -17.6870623    
 GJ 143                       51.7501882     -63.5001660    
 GJ 15 A                      4.6126677      44.0247296     
 GJ 160.2                     61.6454173     -20.8564724    
 GJ 163                       62.3228353     -53.3711768    
 GJ 179                       73.0245495     6.4752347      
 GJ 180                       73.4600970     -17.7761940    
 GJ 2030                      50.8237604     -7.7950429     
 GJ 2056                      108.0194945    -24.8921008    
 GJ 229                       92.6435993     -21.8677233    
 GJ 238                       98.4548810     -58.5250316    
 GJ 251                       103.7002499    33.2664632     
 GJ 27.1                      9.9980016      -44.2541679    
 GJ 273                       111.8520910    5.2258070      
 GJ 3021                      4.0634323      -79.8514218    
 GJ 3082                      18.6432425     -53.9407751    
 GJ 3090                      20.4384281     -46.7147234    
 GJ 3138                      32.2977385     -16.3392495    
 GJ 317                       130.2445254    -23.4528090    
 GJ 3222                      50.8972464     -40.0762325    
 GJ 328                       133.7819507    1.5420011      
 GJ 3293                      67.1484425     -25.1713396    
 GJ 3323                      75.4868824     -6.9485133     
 GJ 3341                      78.9471415     -31.2948458    
 GJ 338 B                     138.5916722    52.6835211     
 GJ 3470                      119.7735021    15.3912090     
 GJ 3473                      120.5936065    3.3371629      
 GJ 3512                      130.3316616    59.4918364     
 GJ 357                       144.0074644    -21.6650634    
 GJ 3634                      164.6433493    -31.1443383    
 GJ 367                       146.1214640    -45.7790165    
 GJ 3779                      200.7335358    24.4639425     
 GJ 3929                      239.5775678    35.4081141     
 GJ 393                       157.2288672    0.8378485      
 GJ 3942                      242.2645452    52.9441443     
 GJ 3988                      255.8503747    51.4089795     
 GJ 3998                      259.0020507    11.0561751     
 GJ 411                       165.8344710    35.9723170     
 GJ 414 A                     167.7745044    30.4451688     
 GJ 422                       168.9810458    -57.5425629    
 GJ 4276                      336.3221454    59.4125030     
 GJ 433                       173.8619194    -32.5436302    
 GJ 436                       175.5505363    26.7030669     
 GJ 463                       185.7440496    64.0324311     
 GJ 480                       189.7134226    11.6950708     
 GJ 486                       191.9815310    9.7494181      
 GJ 504                       199.1923480    9.4249781      
 GJ 514                       202.5040424    10.3725387     
 GJ 536                       210.2597264    -2.6522901     
 GJ 581                       229.8564725    -7.7226935     
 GJ 625                       246.3557854    54.3033625     
 GJ 649                       254.5363221    25.7419719     
 GJ 667 C                     259.7510609    -34.9977651    
 GJ 674                       262.1700476    -46.8989826    
 GJ 676 A                     262.5448903    -51.6377777    
 GJ 680                       263.8072214    -48.6788427    
 GJ 682                       264.2610245    -44.3232519    
 GJ 685                       263.8960378    61.6793482     
 GJ 687                       264.1041731    68.3336741     
 GJ 720 A                     278.8294172    45.7456038     
 GJ 724                       280.2383650    -13.3824997    
 GJ 740                       284.4997178    5.9028670      
 GJ 806                       311.2697002    44.5002351     
 GJ 832                       323.3912616    -49.0125169    
 GJ 849                       332.4229938    -4.6408317     
 GJ 86                        32.6224785     -50.8209945    
 GJ 876                       343.3239737    -14.2665958    
 GJ 887                       346.4668274    -35.8530693    
 GJ 896 A                     352.9700384    19.9370011     
 GJ 900 A                     353.7526177    1.6055211      
 GJ 9066                      30.0588307     13.0443172     
 GJ 9404                      184.8472095    28.3827126     
 GJ 96                        35.5624031     47.8802075     
 GJ 9689                      303.4677310    13.3888921     
 GJ 9714                      315.4141767    -32.5250028    
 GJ 9827                      351.7717763    -1.2853435     
 GPX-1                        38.3691648     56.0257080     
 GQ Lup                       237.3003643    -35.6515055    
 GSC 06214-00210              245.4776921    -20.7193398    
 GU Psc                       18.1464850     17.0650029     
 Gaia-1                       90.6436658     -0.5771099     
 Gaia-2                       110.7353308    67.2526565     
 Gaia22dkvL                   151.7690000    -66.1808889    
 Gl 378                       150.5865513    48.0824515     
 Gl 49                        15.6687321     62.3454386     
 Gl 686                       264.4764878    18.5959509     
 Gliese 12                    3.9579137      13.5576175     
 HAT-P-1                      344.4453632    38.6749190     
 HAT-P-11                     297.7101763    48.0818635     
 HAT-P-12                     209.3886452    43.4933100     
 HAT-P-13                     129.8823772    47.3519076     
 HAT-P-14                     260.1161719    38.2421682     
 HAT-P-15                     66.2481420     39.4606020     
 HAT-P-16                     9.5730343      42.4630961     
 HAT-P-17                     324.5359781    30.4881882     
 HAT-P-18                     256.3463760    33.0123251     
 HAT-P-19                     9.5165832      34.7114025     
 HAT-P-2                      245.1514324    41.0479601     
 HAT-P-20                     111.9164295    24.3361185     
 HAT-P-21                     171.2749348    41.0280207     
 HAT-P-22                     155.6814593    50.1287115     
 HAT-P-23                     306.1239076    16.7621462     
 HAT-P-24                     108.8251171    14.2626064     
 HAT-P-25                     48.4354731     25.1973548     
 HAT-P-26                     213.1565508    4.0594175      
 HAT-P-27                     222.7673221    5.9473626      
 HAT-P-28                     13.0009159     34.7284020     
 HAT-P-29                     33.1310921     51.7787754     
 HAT-P-3                      206.0940142    48.0285650     
 HAT-P-30                     123.9498431    5.8368669      
 HAT-P-31                     271.5376722    26.4266061     
 HAT-P-32                     31.0427614     46.6878512     
 HAT-P-33                     113.1842383    33.8350214     
